account_id,customer_name,date_of_birth,postcode,region,creditor,debt_type,original_balance,current_balance,interest_rate_pct,default_date,account_status,vulnerability_flag,dsar_requested,marketing_consent,assigned_agent
DC100381,Caroline Richards,1959-03-24,N02 8AG,Wales,Vantage Home Finance,Catalogue Debt,4786.95,3155.99,23.15,2025-02-28,Open,Financial Hardship,N,,Timothy B.
DC100932,Lydia O'Neill,2001-11-27,B57 6HZ,Wales,Northbridge Finance,Personal Loan,8605.51,3634.89,21.44,11/04/2025,Closed,None,N,Y,Yvonne H.
DC100683,Justin Williams,1941-02-18,L0 3FD,London,Hallgate Bank,Catalogue Debt,14067.58,14067.58,29.54,2026-02-16,In Arrangement,None,N,Unknown,Kyle W.
DC100627,Lisa Powell,1994-04-05,B7 5RZ,Midlands,Hallgate Bank,Credit Card,5215.96,1680.36,29.13,06/04/2025,In Arrangement,None,N,Y,Sarah C.
DC100176,Amy Hodgson,13-11-1944,DD6V 0QR,Midlands,Vantage Home Finance,Credit Card,12989.75,426.86,18.19,2026-06-09,Closed,None,N,N,Judith N.
DC100643,Alice Booth,2007-06-30,WF9 9NS,East Anglia,Pinnacle Retail Finance,Credit Card,595.2,473.73,9.91,2025-01-26,Closed,None,N,Y,Hugh M.
DC101003,Joan Burns,1954-04-28,N98 8WN,Midlands,Northbridge Finance,Credit Card,996.64,,,24/01/2023,Open,None,N,N,Hollie B.
DC100258,Charlene Harris,1952-10-21,OX6W 2ZP,Scotland,Hallgate Bank,Store Card,2343.0,2343.0,,2022-09-23,Closed,None,N,N,Molly Q.
DC101169,Conor Butler,1957-11-23,S0B 4UT,East Anglia,Northbridge Finance,Mobile Phone Contract,3324.84,3324.84,3.68,05-07-2026,On Hold,Mental Health,N,Y,Georgina J.
DC100622,Suzanne Riley,1949-04-05,BT83 5XG,South East,Meridian Telecom,Store Card,2680.59,2680.59,26.04,2024-12-12,Legal Action,None,N,N,Duncan P.
DC100556,Nathan Saunders,16/07/1969,WS2 7QN,East Anglia,Leeds City Council,Mobile Phone Contract,1420.22,1065.26,7.49,2025-05-24,Closed,None,N,N,Michael B.
DC100071,Norman Murphy,1950-07-23,G1E 5WL,North West,Vantage Home Finance,Utility Arrears,3892.14,577.72,9.28,2023-06-20,In Arrangement,None,N,N,Paul B.
DC101165,Glenn Kent,1982-08-20,FK4M 5PJ,South East,Yorkshire Utilities Group,Rent Arrears,4887.49,1235.72,,2022-12-20,Open,None,N,N,Anna B.
DC100856,Abbie Peters,1963-10-17,M46 7RU,Scotland,Vantage Home Finance,Store Card,2549.19,2549.19,21.68,2025-07-10,Open,None,N,Y,Lynda S.
DC101196,Lisa Quinn,,L69 6FS,East Anglia,Summit Consumer Credit,Credit Card,3648.16,3648.16,26.43,2022-10-08,In Arrangement,None,N,N,Lorraine P.
DC101134,Leah Bates,1969-07-01,M6 4BE,,Leeds City Council,Utility Arrears,7986.4,1088.57,19.56,2026-02-26,On Hold,None,N,Y,Josh S.
DC100637,Annette Collins,1949-05-24,BN49 1EB,South East,Summit Consumer Credit,Store Card,276.79,276.79,5.99,2026-04-28,Legal Action,None,N,Unknown,Yvonne B.
DC100310,Lisa Stevens,1996-10-16,CF6 9ET,North West,Northbridge Finance,Rent Arrears,3262.41,2442.3,23.49,20/06/2023,On Hold,None,N,Y,Clare S.
DC100338,Jayne Richardson,1992-03-18,G99 7QB,South West,Hallgate Bank,Rent Arrears,11873.97,4229.14,22.96,2023-04-09,Closed,None,N,Y,Gerald C.
DC100606,Naomi Howarth,1971-03-28,,South West,Pinnacle Retail Finance,Catalogue Debt,13038.27,13038.27,0.7,18/12/2024,In Arrangement,None,N,Y,Marilyn B.
DC100094,Robert Long,1973-04-17,CF7Y 1DP,South West,Vantage Home Finance,Catalogue Debt,2361.77,2361.77,15.17,2024-04-17,On Hold,None,N,N,Tina B.
DC100835,Julian Whittaker,1952-02-06,E4 7UQ,South East,Northbridge Finance,Council Tax,8268.88,8268.88,16.21,2023-04-18,On Hold,None,N,N,Janice S.
DC100036,David Rogers,1955-01-06,N7H 3WU,North East,Hallgate Bank,Mobile Phone Contract,9622.36,9622.36,1.54,2025-10-19,Open,None,N,N,Leslie S.
DC100838,Gemma Dawson,16/05/2006,NP7V 4QP,Yorkshire,Summit Consumer Credit,Mobile Phone Contract,12580.12,10951.15,0.02,27-02-2026,Open,,N,N,Deborah W.
DC100428,Tina Young,1956-11-24,LE67 9ZA,Yorkshire,Yorkshire Utilities Group,Credit Card,8837.8,5458.48,26.81,2025-01-10,Open,None,N,N,Duncan Y.
DC100866,Marcus Lambert,1942-12-01,N02 8PB,North West,Kestrel Bank,Credit Card,5595.36,3877.89,14.41,16/05/2024,Open,None,N,Y,Damian H.
DC100968,Nicole Brown,19/11/1963,,South West,Vantage Home Finance,Council Tax,5231.98,5231.98,13.48,01/29/2024,On Hold,None,N,N,Conor A.
DC100168,Maria Williams,1986-12-25,CA87 7FW,,Aurora Credit Ltd,Personal Loan,7056.11,7056.11,24.16,12/07/2025,Open,None,N,N,Elizabeth M.
DC100967,Jack Ellis,1955-10-03,SP9R 9PX,North East,Northbridge Finance,Mobile Phone Contract,12448.35,6553.73,17.0,2025-02-11,Open,None,N,Unknown,Janet J.
DC100501,Simon Owen,1952-08-22,L2 3XE,South East,Northbridge Finance,Utility Arrears,10882.45,10882.45,27.92,28-11-2024,In Arrangement,None,N,Y,Francesca J.
DC100324,Lawrence Jennings,1975-11-14,W7A 3PW,,Aurora Credit Ltd,Rent Arrears,14044.63,14044.63,14.66,2025-09-27,Disputed,None,N,N,Jake W.
DC100376,Barry Morgan,1988-02-28,W9G 5UX,East Anglia,Aurora Credit Ltd,Rent Arrears,12014.96,448.79,,2023-06-01,closed,None,N,N,Julian N.
DC100089,Joyce Owen,2002-01-14,S4 1TD,London,Vantage Home Finance,Overdraft,12977.15,11923.11,0.91,2025-03-31,Written Off,None,N,N,Cheryl K.
DC101140,Christine Jones,1964-05-07,SY7X 5SD,South West,Leeds City Council,Rent Arrears,11508.1,11508.1,20.93,13/11/2023,Closed,None,N,N,Mandy S.
DC101161,Matthew Lucas,1990-02-14,PL32 9WS,East Anglia,Meridian Telecom,Credit Card,12088.01,12088.01,29.19,2024-03-08,Closed,None,N,Y,Leah C.
DC100569,Hannah Davies,1949-09-18,G4 8UP,Wales,Kestrel Bank,Store Card,532.79,424.56,3.28,20/03/2026,In Arrangement,None,N,N,Jade C.
DC100364,Melissa Clarke,1976-06-21,B8F 2TE,North West,Summit Consumer Credit,Overdraft,2070.4,283.07,,2024-05-18,Open,None,N,Y,Amelia J.
DC101066,Stewart Stephenson,1994-03-12,SN0V 3DN,South West,Aurora Credit Ltd,Credit Card,11826.58,11826.58,,2023-11-05,Open,None,N,Y,Kate M.
DC100930,CHLOE FIELD,1972-10-18,L8 6RU,Yorkshire,Yorkshire Utilities Group,Personal Loan,5981.16,254.84,,2023-11-27,OPEN,None,N,Unknown,Owen W.
DC100286,Mohammad Burton,2001-01-10,M7W 7BY,North East,Kestrel Bank,Catalogue Debt,8676.7,4454.35,2.08,05/03/2024,Closed,None,N,N,Kimberley C.
DC100684,Dennis Smith,1946-01-14,DA3 6GZ,Midlands,Northbridge Finance,Store Card,14987.24,1769.43,26.31,2025-07-24,Open,None,N,,Frederick S.
DC100170,Beth Collins,28-04-2008,,Scotland,Pinnacle Retail Finance,Personal Loan,14825.96,8370.84,,2026-05-20,In Arrangement,None,N,N,Jemma S.
DC100925,Elaine Potts,11/01/1969,B4 3EX,South West,Pinnacle Retail Finance,Store Card,5063.1,4794.39,10.54,2023-04-24,On Hold,None,N,Y,Clare B.
DC100298,KEITH WOOD,1947-08-11,W44 0EG,Scotland,Leeds City Council,Council Tax,1159.09,682.42,,09/22/2023,In Arrangement,None,N,Y,Simon D.
DC100390,Billy Freeman,1974-01-18,N5T 4ZX,East Anglia,Pinnacle Retail Finance,Utility Arrears,3944.98,3944.98,,2024-12-09,Closed,None,N,Y,Shaun R.
DC101092,Elaine Lamb,1952-04-24,TW5R 7AU,Wales,Meridian Telecom,Council Tax,6185.59,6185.59,20.75,19/10/2022,Open,Mental Health,N,N,Vanessa S.
DC100377,Angela Brookes,01/10/1968,B8 5NU,North East,Meridian Telecom,Credit Card,1624.52,1624.52,24.19,2023-05-01,Open,None,N,N,Eleanor B.
DC100483,Marie Collins,1996-04-23,L1U 6PR,Yorkshire,Vantage Home Finance,Utility Arrears,5456.02,5456.02,15.86,2023-03-03,On Hold,Mental Health,N,N,Victor O.
DC100022,Damian Ahmed,2004-10-01,B9B 9YW,Midlands,Vantage Home Finance,Catalogue Debt,8383.03,6774.83,24.93,2024-12-14,Closed,None,N,Y,Guy H.
DC101155,Joshua White,1978-08-14,E4 7RW,North West,Summit Consumer Credit,Credit Card,14917.75,11208.53,17.6,2024-05-17,In Arrangement,None,N,Y,Norman W.
DC101045,Jennifer Wheeler,1992-01-18,BA1 9NW,South East,Hallgate Bank,Store Card,2680.23,348.72,8.03,2026-06-24,In Arrangement,None,N,Y,Beth G.
DC100634,Eric Stewart,1969-07-17,L25 1EA,Midlands,Aurora Credit Ltd,Overdraft,3104.93,3104.93,24.1,01/05/2023,In Arrangement,Bereavement,N,N,Catherine W.
DC101013,Gavin Palmer,1971-02-08,S91 2WY,,Summit Consumer Credit,Overdraft,8075.51,8075.51,9.77,2024-04-14,Written Off,None,N,N,Georgia B.
DC100073,Danny Taylor,2007-06-01,DY60 7RR,East Anglia,Kestrel Bank,Overdraft,11597.49,1912.2,5.41,08/28/2023,Open,None,N,N,Cheryl J.
DC100090,Ruth Anderson,1942-03-05,G93 8HY,South East,Pinnacle Retail Finance,Overdraft,2497.49,1459.48,11.08,2025-10-20,Closed,None,N,Y,Robin B.
DC100933,Karl Cooper,1952-11-22,L7 8HA,South East,Yorkshire Utilities Group,Credit Card,9983.85,9983.85,,25/08/2025,In Arrangement,Elderly - Support Needed,N,Y,Kate K.
DC100596,Garry Turner,1994-02-04,M2W 0TT,,Leeds City Council,Council Tax,2462.21,1061.92,28.96,25-09-2025,Closed,None,N,N,Jamie S.
DC100165,Natalie Parkes,04/16/1968,TD4Y 4QZ,North West,Pinnacle Retail Finance,Utility Arrears,1244.58,1244.58,4.81,2024-09-09,Closed,Physical Health,N,Unknown,Ross L.
DC100064,Charlene Rogers,02/04/1968,W7B 6PZ,North West,Pinnacle Retail Finance,Overdraft,9979.79,5132.99,20.28,15-10-2023,Open,None,N,N,Tony P.
DC100044,Janice Roberts,09-10-2001,KY7 6PR,South West,Pinnacle Retail Finance,Rent Arrears,9050.76,9050.76,0.08,2024-08-19,Open,None,N,N,Roger G.
DC100782,Sharon Thomas,10/03/1989,L99 2YU,East Anglia,Yorkshire Utilities Group,Catalogue Debt,10647.53,7932.42,17.24,2025-05-25,Open,None,N,N,Lewis N.
DC101046,Bryan Peacock,,BS3B 9RL,East Anglia,Leeds City Council,Personal Loan,14967.78,11372.55,27.62,2024-04-12,Open,None,N,Y,Jacob E.
DC100719,Melanie Jones,1976-01-03,TW1H 2ZG,Scotland,Pinnacle Retail Finance,Personal Loan,8450.32,2510.19,13.64,2025-01-04,In Arrangement,None,N,Y,Christopher D.
DC100891,Samantha Wilson,1997-01-05,L6S 9LN,North East,Aurora Credit Ltd,Overdraft,3808.99,271.4,1.85,03/08/2026,Open,None,N,N,Maurice S.
DC100555,Damian Hudson,19-07-1955,M76 9BU,Wales,Hallgate Bank,Overdraft,998.21,,16.99,20/02/2023,In Arrangement,None,N,Y,Eleanor P.
DC100536,Sean Read,1948-01-26,DY20 0DU,Wales,Northbridge Finance,Council Tax,8546.83,2644.45,16.81,14-09-2023,Open,None,N,Y,Josephine P.
DC101179,Jessica Foster,30/08/1972,,Wales,Leeds City Council,Personal Loan,14716.96,4430.06,27.33,25/10/2022,Disputed,None,N,Y,Rebecca P.
DC101020,Judith Thompson,1947-07-13,E61 7TS,London,Summit Consumer Credit,Council Tax,5679.63,4414.0,14.62,2024-02-01,Open,None,N,Y,Paula W.
DC100451,Gavin Bradley,27/11/1980,OL58 2DY,South West,Hallgate Bank,Catalogue Debt,6592.25,5612.85,28.54,17/10/2025,Open,None,N,Y,Holly C.
DC100128,Marc Young,1962-03-08,TW87 0HN,South West,Aurora Credit Ltd,Credit Card,14756.58,4759.41,,08/12/2023,Written Off,Elderly - Support Needed,N,N,Susan T.
DC100374,Elaine Parry,1942-07-07,E4 1RN,North East,Aurora Credit Ltd,Overdraft,10406.86,9509.87,14.76,11-04-2024,Open,None,N,N,Bernard S.
DC100827,Melissa Brooks,1950-09-27,CH3A 2LA,London,Yorkshire Utilities Group,Council Tax,11699.44,11433.45,2.67,2026-02-25,In Arrangement,None,N,Unknown,Alice A.
DC100979,Shannon O'Neill,1993-07-13,B7H 4RB,London,Northbridge Finance,Credit Card,5652.58,2981.07,16.94,03-04-2025,Legal Action,None,N,Y,Julie M.
DC100504,Antony Barber,09/10/2005,CH2 2HW,North West,Aurora Credit Ltd,Personal Loan,10252.19,3751.2,,2023-02-24,On Hold,Mental Health,Y,Unknown,Teresa B.
DC100880,Henry Cunningham,,OX6 9LQ,North East,Summit Consumer Credit,Mobile Phone Contract,13220.63,8513.41,0.34,2024-11-05,On Hold,None,N,N,Max S.
DC100260,Rhys Smith,1945-05-01,B0 7SG,South East,Hallgate Bank,Rent Arrears,9793.76,7529.75,,2023-09-23,closed,None,N,Unknown,Amy H.
DC100019,Frank Thompson,1973-09-29,,North West,Meridian Telecom,Credit Card,6263.94,2067.68,6.65,2023-07-23,Open,None,N,N,Sandra H.
DC100299,Rebecca Roberts,1961-12-26,B0 2PQ,Midlands,Aurora Credit Ltd,Utility Arrears,9129.58,5697.24,13.96,2025-08-12,In Arrangement,None,N,N,Jennifer N.
DC101097,Diane Rowley,27/12/1963,EX8H 4LD,North East,Northbridge Finance,Council Tax,7507.52,6926.2,2.4,2026-06-01,Open,None,N,Y,Barbara B.
DC101137,Ian Stephenson,11/03/1997,B1 4UH,Midlands,Northbridge Finance,Council Tax,2696.63,1423.15,13.64,2024-05-03,Open,None,N,N,Vincent J.
DC100221,Glen Haynes,01/09/1980,TN50 1TA,South East,Aurora Credit Ltd,Utility Arrears,1899.75,1886.08,17.5,2024-12-09,In Arrangement,None,N,N,Harry M.
DC100076,Kayleigh Edwards,12/05/1992,E3 3DS,London,Northbridge Finance,Mobile Phone Contract,6311.22,3809.11,25.09,20/02/2026,Closed,None,N,N,Nigel C.
DC101073,SAM POOLE,1973-12-10,DA4 4XN,North West,Aurora Credit Ltd,Store Card,6085.09,1880.56,16.35,2023-06-10,In Arrangement,None,N,Y,Glen D.
DC100861,Alex Hopkins,1942-05-16,L0 0QS,North West,Yorkshire Utilities Group,Store Card,991.83,175.31,,25/06/2026,In Arrangement,,N,Y,Kirsty K.
DC100557,LYNDA HOWELLS,1991-01-02,L4 4QE,South West,Northbridge Finance,Personal Loan,281.73,271.3,18.25,07/11/2025,In Arrangement,None,N,Y,Eleanor T.
DC100551,Carol Smith,02-12-1950,LL7 6BH,Scotland,Summit Consumer Credit,Council Tax,4492.33,1769.42,21.98,30/10/2022,Open,None,N,Unknown,Sam S.
DC100290,Ian Ashton,1990-05-29,,North East,Vantage Home Finance,Overdraft,6635.52,6635.52,13.59,11/06/2026,In Arrangement,None,N,N,Eric F.
DC100122,Megan Booth,1950-02-28,PO01 4HF,South West,Pinnacle Retail Finance,Mobile Phone Contract,1241.57,908.86,0.16,2025-06-26,Written Off,None,N,Y,Lorraine S.
DC100535,Dawn White,1989-03-29,SY6 7ZR,South West,Kestrel Bank,Overdraft,7756.27,6769.09,13.84,2024-12-31,In Arrangement,None,N,N,Danielle L.
DC100715,Antony Harding,1948-09-13,PE6 6JB,London,Aurora Credit Ltd,Personal Loan,2604.07,1323.69,25.5,2024-09-27,Open,,N,N,Terence S.
DC100975,June Tyler,1968-07-08,L2K 1QA,Scotland,Yorkshire Utilities Group,Personal Loan,5344.0,5344.0,18.36,2022-10-23,Closed,None,N,N,Grace Y.
DC100266,Arthur Green,1977-09-21,IG27 4TT,London,Meridian Telecom,Overdraft,14327.28,8033.52,18.18,12/06/2023,In Arrangement,None,N,N,Marcus W.
DC100978,Sam Smith,27-10-1989,BD6V 6DS,Yorkshire,Vantage Home Finance,Store Card,13252.7,5531.19,20.67,29/12/2022,Open,None,N,N,Elliot Y.
DC100319,Dominic Russell,18-04-2006,E22 6BS,North East,Pinnacle Retail Finance,Overdraft,14288.76,13964.54,19.28,2023-11-15,In Arrangement,Bereavement,N,Y,Ricky R.
DC100608,Rebecca Price,08/09/1950,BT10 2UH,North West,Pinnacle Retail Finance,Catalogue Debt,9198.9,2540.64,0.67,2024-05-22,Open,None,N,Y,Katie F.
DC100833,Mohammed Kay,2001-11-30,W6 0GL,Midlands,Kestrel Bank,Council Tax,379.61,89.38,9.8,11-04-2023,Open,None,N,,Martin T.
DC100125,Rosie King,26/04/1976,B6W 0RQ,Midlands,Meridian Telecom,Mobile Phone Contract,8976.73,6279.8,20.78,2024-02-19,In Arrangement,None,N,N,Howard M.
DC100233,Connor Price,14/02/1982,SE2B 2AG,South East,Pinnacle Retail Finance,Rent Arrears,12235.2,6404.64,24.22,2023-12-07,Closed,None,N,Y,Jean W.
DC100783,Gareth Miller,1961-10-09,W1 5GN,London,Aurora Credit Ltd,Credit Card,6011.57,6011.57,10.21,2026-02-13,Open,None,N,Y,Shaun T.
DC100635,Peter Wright,24-04-1983,EH1 3PB,North West,Vantage Home Finance,Personal Loan,5006.99,5006.99,23.34,12/01/2024,Closed,None,N,N,Brett R.
DC101016,Rita Short,26/06/1984,BA45 2JG,London,Northbridge Finance,Mobile Phone Contract,10230.55,9188.85,2.9,2024-03-31,Written Off,None,N,N,Anna B.
DC100685,Melissa Parkin,11-12-1983,BT56 2UT,Wales,Yorkshire Utilities Group,Council Tax,14292.76,14292.76,5.71,2023-10-15,In Arrangement,None,N,N,Mary L.
DC100458,Barry Cunningham,1984-05-24,YO96 7WS,South East,Leeds City Council,Utility Arrears,8042.33,2541.54,6.75,08/05/2024,Closed,None,Y,Y,Lynn P.
DC100778,Ryan Smith,1946-07-04,W0 5DN,North West,Yorkshire Utilities Group,Credit Card,4073.37,2713.74,25.16,2024-12-14,Open,None,N,N,John R.
DC100883,Chloe Gardner,22/10/1992,CO32 9BJ,North West,Hallgate Bank,Overdraft,13422.38,4148.45,19.14,2023-10-21,Closed,None,N,Unknown,Geoffrey W.
DC100149,Sara Davies,1948-10-19,IG58 2HZ,South East,Leeds City Council,Personal Loan,10753.21,10753.21,3.57,17-07-2026,Open,Mental Health,N,Y,Natasha A.
DC100406,Hannah Riley,21/01/1954,NG3H 4SP,Yorkshire,Hallgate Bank,Council Tax,14451.51,5547.89,19.1,2025-02-18,Open,None,N,N,Lydia B.
DC100916,Daniel Atkins,1971-12-05,OX7P 6DJ,North West,Hallgate Bank,Credit Card,4104.13,3436.31,26.36,2023-02-10,Closed,None,N,Y,Jane M.
DC101100,Rosie Whitehouse,01/06/1949,E21 0SJ,South West,Meridian Telecom,Store Card,9835.43,6899.9,9.9,24/06/2025,Written Off,None,N,N,Rhys P.
DC100727,Ross Owens,1947-11-11,M97 8QY,East Anglia,Meridian Telecom,Rent Arrears,569.3,569.3,1.46,2026-05-07,Open,None,N,N,Lawrence F.
DC100156,Joel Vaughan,1988-08-27,HD75 4EY,South West,Hallgate Bank,Credit Card,784.04,784.04,12.76,04/06/2025,In Arrangement,None,N,Unknown,Sian D.
DC100317,Alison Warner,1999-10-01,S38 0RR,East Anglia,Yorkshire Utilities Group,Council Tax,3189.98,3189.98,26.85,2025-08-14,Open,None,N,Y,Helen A.
DC100851,Peter Lee,26/11/1970,M6 2JX,North West,Kestrel Bank,Council Tax,2717.18,1240.76,26.27,2022-12-09,In Arrangement,None,N,N,Elliot F.
DC100159,Mohamed Edwards,24-07-1947,G6 7HN,Midlands,Kestrel Bank,Council Tax,8699.03,150.8,24.11,2025-09-27,On Hold,,N,Unknown,Danny H.
DC100277,Rebecca Cole,05/09/1959,S1S 3QU,,Pinnacle Retail Finance,Rent Arrears,11792.24,6910.81,6.23,12/12/2025,Legal Action,None,N,N,Marilyn W.
DC100070,Eric Chambers,20/10/2002,G7 8LS,Wales,Vantage Home Finance,Utility Arrears,7642.55,7642.55,27.45,2024-07-12,Closed,None,N,N,Pamela R.
DC100105,Sharon Jarvis,1966-07-30,N1G 6AT,Wales,Yorkshire Utilities Group,Rent Arrears,10600.93,9772.97,9.81,2025-06-23,Open,None,N,Y,Martin T.
DC100060,Lynda Anderson,10/10/1982,LD74 4YZ,,Leeds City Council,Mobile Phone Contract,5183.13,2832.59,20.54,2025-10-05,Open,None,N,Y,Darren J.
DC100805,Ross Jordan,02/17/1977,TD40 1FA,Scotland,Northbridge Finance,Utility Arrears,14189.97,14189.97,6.85,2023-09-06,On Hold,None,N,Y,Kim R.
DC101119,Emily Ferguson,03-05-1972,W68 9TP,London,Leeds City Council,Catalogue Debt,5525.88,270.65,29.14,2026-04-14,Written Off,None,N,N,Raymond C.
DC101124,Jemma Pearson,1987-12-15,L7 1LJ,South West,Yorkshire Utilities Group,Overdraft,5368.33,3137.05,24.19,13/11/2024,Legal Action,None,N,Y,Shane G.
DC100353,Shaun Spencer,16/04/1975,B2G 1FU,Wales,Aurora Credit Ltd,Mobile Phone Contract,10803.18,1331.37,21.8,19/10/2025,Legal Action,None,N,Y,Grace W.
DC100450,Francesca Hammond,1961-04-07,S3K 8GU,East Anglia,Aurora Credit Ltd,Utility Arrears,2300.62,1798.77,29.38,2024-07-11,In Arrangement,None,N,Y,Jacqueline C.
DC101151,Jeremy Hall,,B4K 8UG,Scotland,Leeds City Council,Catalogue Debt,7807.2,6297.47,8.57,29-03-2024,Open,None,N,N,Alison H.
DC100295,Russell Booth,1983-08-02,CB8M 6EW,,Hallgate Bank,Utility Arrears,12352.6,2005.89,21.96,25/11/2023,Closed,None,N,N,Marian H.
DC100196,Amy Cooper,25/06/1946,G62 4NL,Midlands,Aurora Credit Ltd,Overdraft,7698.74,7698.74,18.12,2026-04-02,In Arrangement,None,N,N,Valerie L.
DC101024,Rosemary Newman,29/07/1998,RG03 0FB,London,Hallgate Bank,Rent Arrears,6973.02,5160.33,6.65,26-08-2025,In Arrangement,None,N,Y,Frank W.
DC100351,Dean Pickering,11-07-1980,S9F 6HS,Yorkshire,Yorkshire Utilities Group,Catalogue Debt,4726.35,1675.98,9.25,29-09-2023,Open,None,N,Y,Lynn L.
DC100550,Lydia Miller,1998-02-14,,South West,Summit Consumer Credit,Credit Card,5245.42,5245.42,0.45,30/04/2024,Open,None,N,N,Joyce F.
DC101011,Jeremy Spencer,1976-12-29,G8 1PP,East Anglia,Meridian Telecom,Store Card,6268.29,2568.33,,03-06-2026,Open,None,Y,N,Bernard S.
DC101176,Dale Spencer,1946-04-19,CV69 0XL,Scotland,Hallgate Bank,Credit Card,6300.39,1726.45,13.24,06/07/2025,Open,None,N,Y,Russell W.
DC100245,Gavin Price,,G4 3PF,South East,Hallgate Bank,Council Tax,11903.27,11903.27,,2026-01-22,In arrangement,None,N,N,George E.
DC100355,Mark Lawson,1985-05-23,DG0 9GB,Wales,Vantage Home Finance,Council Tax,13164.39,727.24,29.13,2025-11-14,Open,Physical Health,N,N,Rebecca S.
DC100639,Frances Gill,1971-08-07,E10 9HY,London,Meridian Telecom,Credit Card,1978.18,1978.18,11.94,2024-01-03,Legal Action,None,N,Y,Malcolm T.
DC100670,Liam Dawson,31/08/1986,,North West,Kestrel Bank,Mobile Phone Contract,2710.04,985.15,26.65,2024-07-12,Disputed,,N,N,Tony C.
DC100102,Maurice Fraser,30/11/1961,E0C 9BD,South East,Leeds City Council,Council Tax,1822.8,1526.61,25.6,2023-12-29,Open,None,N,N,Abdul W.
DC101132,Charlotte Peters,11/10/1971,W78 3DZ,Yorkshire,Meridian Telecom,Utility Arrears,436.27,313.12,,2024-04-02,In Arrangement,None,N,N,Kenneth Y.
DC100570,Elliott Ellis,1970-02-28,BH2 4QS,Wales,Pinnacle Retail Finance,Catalogue Debt,5402.76,4975.58,21.99,2023-09-28,In Arrangement,None,N,Y,Lawrence P.
DC100946,Joshua Stanley,1947-11-02,G6 5PE,Yorkshire,Meridian Telecom,Council Tax,14537.26,8465.28,27.8,2024-02-16,Closed,Physical Health,N,N,Christian J.
DC100710,Charlene Lees,2008-07-04,RG37 6BP,Wales,Aurora Credit Ltd,Council Tax,6098.31,5719.3,3.45,2025-06-28,Written Off,None,N,Y,Carl M.
DC101146,Gavin Skinner,1993-06-30,LD1 5RA,Yorkshire,Yorkshire Utilities Group,Rent Arrears,651.27,466.15,14.82,01/01/2023,Open,None,N,N,Amelia A.
DC100999,Owen Berry,28/03/1950,BA3 4NQ,North West,Vantage Home Finance,Personal Loan,6616.29,3856.26,7.84,2024-07-05,Closed,Financial Hardship,N,Y,Peter S.
DC100543,Graham Walker,1945-03-05,DA0 0TS,Yorkshire,Kestrel Bank,Mobile Phone Contract,1849.94,1849.94,13.44,01/12/2023,Written Off,None,N,N,Kirsty L.
DC100420,Ryan Hanson,2006-08-08,DT33 2TZ,South East,Leeds City Council,Overdraft,7021.03,7021.03,24.22,2026-05-07,In Arrangement,Mental Health,N,Y,Wendy H.
DC101078,Peter Carr,1945-06-10,M8C 8PB,,Hallgate Bank,Rent Arrears,14860.77,14860.77,10.9,2023-09-07,In Arrangement,None,Y,Y,Nathan R.
DC100133,,03/10/1966,G7F 7DY,Scotland,Kestrel Bank,Utility Arrears,8130.08,657.23,13.48,2024-12-10,Open,None,N,Y,Ashley H.
DC100945,Elliot Higgins,1948-07-24,,Wales,Leeds City Council,Personal Loan,14343.43,11214.13,11.72,2025-04-20,Open,None,N,Y,Katy F.
DC100457,Rebecca Gray,19/03/1951,CO2A 0FU,,Yorkshire Utilities Group,Mobile Phone Contract,2277.17,1813.17,19.37,2026-08-18,Open,None,N,Y,Sylvia W.
DC100950,Patrick Roberts,1971-12-01,G3 4ND,Yorkshire,Yorkshire Utilities Group,Personal Loan,1005.41,1005.41,,2023-05-15,Open,None,N,N,Jeffrey S.
DC100545,Frances Martin,1974-07-02,HR2W 5SH,Wales,Kestrel Bank,Personal Loan,12511.18,5375.18,18.7,2025-11-25,Closed,None,N,N,Jean W.
DC100369,Ben Howard,23/01/1996,CB7Y 4QQ,,Vantage Home Finance,Store Card,236.83,236.83,24.31,2024-08-02,Closed,None,N,N,Yvonne B.
DC100021,Terry George,12-06-1980,G0J 2DZ,Wales,Yorkshire Utilities Group,Mobile Phone Contract,5870.15,5870.15,28.37,2024-09-09,In Arrangement,None,N,N,Joseph D.
DC100334,Leslie Burgess,1957-06-18,RM6M 2PU,Scotland,Kestrel Bank,Rent Arrears,1621.72,1621.72,,04/08/2023,Open,None,N,Unknown,Bethany W.
DC100847,Scott Houghton,01/12/2001,S2 0TW,,Leeds City Council,Rent Arrears,2638.71,2638.71,21.91,2026-02-28,Closed,None,N,Y,Kelly B.
DC100676,Kayleigh Barrett,,CM33 5PG,Yorkshire,Yorkshire Utilities Group,Mobile Phone Contract,381.55,381.55,29.51,04/11/2024,In Arrangement,Bereavement,N,Y,Stephen A.
DC100207,Mohamed Moore,24/11/2005,RG22 6AZ,North East,Meridian Telecom,Overdraft,13931.51,12452.88,0.92,2023-08-18,Closed,None,N,Y,Joe P.
DC100736,Amber Nicholls,1961-01-04,WV2 5AE,Scotland,Leeds City Council,Rent Arrears,5234.79,2528.42,27.71,2023-02-21,Open,None,N,Y,Sharon H.
DC101123,Damian Green,23/03/1965,S5 7RX,South West,Aurora Credit Ltd,Catalogue Debt,1303.14,1303.14,15.11,13/02/2024,Disputed,None,N,Y,Benjamin W.
